Questions,Category
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,BT5
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger. ",BT5
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",BT5
Was Hemingway a great American writer? First you will need to define greatness.,BT5
What changes to . . . would you recommend?,BT5
What criteria would you use to assess the validity of a business contract?,BT5
What criteria would you use to assess...?,BT5
What do you think about . . .?,BT5
What is part of this book did you like best. Tell why you like it?,BT5
What is the most important...?,BT5
Which of the following actions would probably be least effective in determining the answer?,BT5
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",BT5
Would you have liked to have had Cinderella for a sister? Explain why or why not.,BT5
Write a list of criteria to judge the Willy raps.,BT5
Revise the story and specify the type of audience that would enjoy this book.,BT5
Estimate the epicentral coordinates of the earth-quake,BT5
Estimate the risk of serious illness for consumers in different susceptible population groups,BT5
Estimate expenditure on HIV/AIDS education,BT5
Estimate the difficulty of the question,BT5
Estimate roughly how long the collision process takes,BT5
What do you think is the best thing about coming to Viestal?,BT5
What do you think is the mass and why,BT5
What do you think are the strengths of using integrated math in your program?,BT5
Do you think that this statement conveys the idea that i am trying to portray,BT5
How do you think the community should grow or change,BT5
How Do You Think One Should Reason in Making Ethical Decisions in Business,BT5
Can you tell me about the stages of grief according to Elisabeth Kübler-Ross?,BT1
An infinitely long plane uniform plate is bounded by two parallel edges in the y direction and an end at right angles to them.,BT4
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,BT1
Write short notes on the structure of RNA. ,BT2
A PIC 18 is connected to the 4MHz crystal oscillator.,BT3
What are the file access methods?,BT1
"Referring to the advertisement design below, evaluate the usage of Dominance and Unity in principles of design.",BT5
A fair coin is tossed 64 times.,BT3
What do you mean by Widmanstatten Structure?,BT1
Design a spring for a balance to measure 0 to 1000 N over a scale of length 80 mm.,BT3
Give the specifications and applications of SCR.,BT1
Causes of Gear Tooth Failure explain in detail.,BT4
Describe the types of vibrators used for compaction of concrete.,BT1
What are the causes of an earthquakes.,BT1
What is Biomass?,BT1
Explain the use of for loop with syntax and suitable programming example in Java.,BT2
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",BT2
"The pre-planning stage of a lesson takes into consideration several factors. Name 
FIVE (5) external factors and briefly explain the importance of each of the factors. ",BT2
Differentiate between Convective and local Accelerations.,BT4
Describe Packet format of IPv6 in detail with suitable diagram.,BT4
List FIVE (5) basic types of research.,BT1
Give the mechanism of nitration of benzene.,BT3
What is the significance of coating on the material properties?,BT1
Determine the doping levels in the respective regions.,BT3
How is the equilibrium constant K related to the standard free energy change?,BT4
Write a short note on bearing materials.,BT1
Explain in detail the importance of preliminary geological exploration in civil engineering projects.,BT1
Write short note on current boosting regulator.,BT2
Derive formula for numerical differentiation of first order using Newtonâs forward interpolation technique.,BT4
Explain in brief the direct screen stencil making process.,BT1
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class. ",BT2
Define Usability.,BT1
State  and explain the working principle of the DC generator along with a diagram.,BT1
Compare linear and switching mode power supply.,BT1
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,BT2
Explain effective modular design with neat diagram.,BT4
Draw the ASM chart for the following state machine.,BT3
What is configuration identification in SCM?,BT1
List and explain various features of virtual 8086 mode.,BT1
Explain model for network security.,BT1
Explain Demand and supply curve.,BT2
Describe the THREE (3) causes of concrete blister. ,BT2
Explain transfer function of an AC servo motor with suitable diagram.,BT1
What is Design?,BT1
Illustrate the THREE (3) advantages of silicon over germanium. ,BT2
Explain the representation of polynomial using GLL.,BT4
State the different applications of contour lines.,BT2
A girder or uniform section and constant depth is freely supported  over a span of 200 Centimeters.,BT3
What is Decomposition Technique?,BT1
Describe the historical development of wind turbine on global level.,BT1
List the SEVEN (7) stages of the development process of a building project. ,BT1
Draw and discuss the bimetallic thermometer.,BT2
Explain in detail pipeline performance.,BT2
Describe the circumstances when tertiary treatment of wastewater is necessary. ,BT2
Calculate the average holding and setup cost per year. ,BT3
"""The bullwhip measure can be used to analyze supply chains. Nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications"".  Explain this statement. ",BT2
Explain the working o single-phase full wave centre tapped rectifier with pure resistive laod.,BT1
State the different patterns of counter showing natural features.,BT2
Explain the possible flow patterns in the culvert depending on the level of the rain water in the car park and the drain channel. ,BT2
Use minimum 8 functions of Deque STL.,BT4
Evaluate 1 2 01dx xï«ï² using Trapezoidal rule taking h = 1 4.,BT3
Explore the role of various fields in Page Level Protection.,BT1
Explain construction and working of RVDT with neat diagram.,BT2
Elaborate the term of national income as used in building economics.,BT2
Write short note on IEEE 802.,BT1
What are fractals?,BT1
What is SMPS? Explain working principle of it.,BT1
Show that the vector Field.,BT5
State Lambert and Beer laws and derive the combined law equation.,BT4
Describe how soils are involved in the greenhouse effects. ,BT2
How folds are developed?,BT2
What is meant by multicore architecture?,BT1
Discuss in detail preliminary geological work on dam and reservoir.,BT1
What are the variants of recursion.,BT1
With suitable diagram explain constructional details of 3 phase slipring induction motor,BT1
How Basic Arithmetic operations are performed using ALU IC 74181?,BT3
Explain the use of BSR mode of 8255.,BT2
State  the Characteristics of contour lines?,BT1
Discuss âSwedish Slip Circle Methodâ for stability analysis of finite slope.,BT1
State TWO (2) subsystems of AIS. ,BT1
What is Remote sensing?,BT1
What is the necessity of ventilation and explain types of ventilation?,BT2
Draw and explain block diagram of SMPS.,BT2
Find the inverse Laplace transform of given network given F( s).,BT3
National income can be calculated using three approaches. State the THREE (3) approaches.,BT1
"As a project manager, you are evaluating the building design for its compliance to intended function as a private college accommodating over 2000 students. Analyze the problems and propose the building performance to meet these functions. ",BT6
Explain 1860 with block diagram.,BT2
Explain qualitative and quantitative data.,BT1
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,BT2
Explain different methods to handle multiple interrupt request.,BT2
List various types of flow control valve.,BT3
What is Sub Zero Treatment and why is it necessary?,BT1
Write a short note on control system and electronics.,BT1
Explain Landslides causes and remedial measures.,BT2
Explain Soft and hard solder.,BT2
What is BGP?,BT1
Explain the function of International Monetary Fund (IMF). ,BT2
List the advantages and disadvantages of FM over AM.,BT1
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,BT5
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",BT2
Describe the historical development of wind turbine on Indian level.,BT1
Depict the figure showing he feeder pathways for glycolysis.,BT1
Describe Logical Programming.,BT1
State and prove sampling theorem with suitable waveform and mathematical expression?,BT4
Define graphic design and product design. ,BT1
Describe V AT Polymerization process in short.,BT1
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable. ,BT4
Define Draft tube.,BT1
What is perspective projection?,BT1
State following statements are True of False.,BT1
"Write recursive function for in-order, pre-order and post-order traversal of Binary tree.",BT3
Define transducer and state detailed classification of transducers.,BT1
A badminton hall to be provided with a lighting installation.,BT3
What is Template?,BT1
Show that the wavefunction of a free particle is a plane wave. ,BT3
Draw and explain the ARM family core architecture?,BT4
What is MOD counter ?,BT1
Explain Calorific Value.,BT1
What is File?,BT1
Explain fiber reinforced composites and particle reinforced composites.,BT1
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",BT5
Write a short note on Saytzeff rule.,BT4
State the necessary conditions for parallel operation of transformers.,BT1
Describe MOST with suitable illustration.,BT1
Explain the properties of instantaneous centre of rotation.,BT4
Explain Kinematic modeling in Virtual Reality.,BT4
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",BT3
What are Pumps and Compressor used in Hydraulic and Pneumatic Systems?,BT1
Illustrate with example the FOUR (4) advantages of photography. ,BT2
Enlist different names of satellite and state features of any two of them.,BT1
Define economic threshold and its use. ,BT2
Construct the binary search tree (BST) from the following elements.,BT3
Evaluate the first and second derivative of âx at x=15 from the following data,BT3
Draw & explain the working principle of bubble type level measurement. State the equation for it.,BT1
Derive the relation between maximum permissible tension and centrifugal tension in belt so that it can transmit maximum power.,BT4
Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,BT2
A centrifugal pump having outer diameter equal to two times the inner diameter and running at 1000 r.,BT3
Derive the torque equation of DC motor with usual notations.,BT4
Explain the different conditions for spontaneity by using Gibbs free energy.,BT4
How wind and ice loading affect the presence of sag.,BT2
Sketch and label the section of the ground floor slab. Explain the purpose of each labelled component. ,BT3
Predict the effects of excess application of nitrogen fertilizer into the soil. ,BT2
Explain how the verticality of tall building is checked?,BT3
Draw and explain the working of a Digital kilo watt Hour Meter.,BT1
Derive the expression for loop inductance of single phase overhead lines.,BT4
"Solve the one dimensional heat equation 2 2y uktxï¶ï¶ï½ï¶ï¶ subject to conditions. i) u is finite .tï¢ ii) u (0, t) = 0, iii) u(ï°, t) = 0, iv) u( x, 0) = ï°x â x2  0.xï°ï£ï£",BT3
Draw and explain magnetization curve for a ferromagnetic material and hence define with uints,BT1
What are pipeline hagards?,BT1
"With the aid of a diagram, briefly show how the width of a FinFET is estimated.",BT3
Define exception.,BT1
Classify insulating materials and hence write properties and applications of any two materials from Class C type.,BT2
"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",BT2
What are elastic pressure transducers?,BT1
Write short note on stainless steel?,BT1
Explain the page translation process in 80386.,BT4
Write algorithms to create and delete a segment.,BT1
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",BT3
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,BT2
Explain file attributes.,BT1
Describe the construction of foil type strain gauges and explain their advantages over wire wound strain gauge.,BT4
Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,BT2
Describe consumer behaviour. ,BT1
"Mr. Vilas brough an air-conditioner for Rs. 20,000; he paid tax of Rs. 2,000 and Rs. 200 for trnsport. If he sold it to a customer forRs. 22,500, what is the percentage profit or loss?",BT3
Explain the following in relation with filters.,BT1
Bankerâs algorithm is used for deadlock avoidance. Explain.,BT1
What are the requirements for Linux system administrator?,BT1
Implement a full-adder using Demultiplexer.,BT3
What do you mean by Earned Value Analysis?,BT1
"SUBWAY brand is the world's largest submarine sandwich chain with more than 44,000 locations around the world. This November, Subway is introducing two new combos as in the image provided below. Propose a rough layout of a poster to promote these new combos. ",BT6
Explain briefly the media usage in advertising effectiveness. ,BT2
What is the purpose of Leaky bucket and token bucket algorithms?,BT1
Explain the working of full wave precision rectifier with neat diagrams.,BT2
A Rankine cycle operates between pressure of 80 bar and 0.,BT3
What is runtime polymorphism?,BT1
How does the falling and rolling ball viscometer used to measure the viscosity?,BT3
Explain the concept of Available and Unavailable energy.,BT1
What is stream?,BT1
Evaluate ()11 00xyd x d y +ï²ï² using Simpsons 1/3rd rule with h=k=1/2,BT3
Index for 87 divisions by compound indexing using following Brown and Sharpe Plate.,BT3
Compute the intensity of active earth pressure at a depth of 8 m in dry cohesionless sand with an angle of internal friction 300 and unit weight of 18 kN/m3.,BT3
What are the rules for overloading operators?,BT1
Differentiate between Reciprocating and Rotary Compressors.,BT4
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",BT2
Give the Dirichlet conditions for Continuous time Fourier Series.,BT1
Explain process reaction curve tuning method in detail.,BT1
Illustrate the following Map methods with an example.,BT2
A  tacheometer with analystic lens.Having the multiplying constant 100 was used and the following observations were made on staff held vertical.,BT3
Explain any one method of viscosity measurement.,BT1
Explain mechanism of universal indexing head.,BT1
Evaluate .,BT5
Explain the construction and working principle of universal motor.,BT2
A solution was prepared by dissolving certain amount of compound in 31.,BT3
Explain working of Ports in 8051 microcontroller.,BT2
Analyse the bent shown in figure 4 by slope deflection method.,BT4
Explain casement window in detail.,BT2
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,BT1
Draw the architecture of 8086. And enlist the features of it.,BT1
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,BT2
Sketch a diagram to illustrate the activities and products in the construction industry. ,BT3
Explain the differences between forward and futures contract. ,BT2
The design rules are usually described in TWO (2) ways. Describe these TWO (2) ways. ,BT2
What are types of condensation?,BT1
Derive expression for the pressure drop for a steady laminar flow through circular pipe.,BT4
What do you mean by spontaneous magnetization?,BT1
Differentiate between âtrial pits' and 'boreholesâ. ,BT4
Define put-call parity. Discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options. ,BT2
Describe the operation of timer 555 with suitable block diagram.,BT1
A 300 volt DC Shunt motor has armature resistance of 0.,BT3
Define software testing?,BT1
Explain a âCâ function to insert node in BST (Binary Search Tree).,BT3
Explain seismic waves in detail.,BT1
All partition walls are of 150 mm thick.,BT3
"Besides silicon and germanium, name ONE (1) other material that can be used as the substrate of a transistor. ",BT2
Describe price feedback effect by using relevant example.,BT2
Define stack as an ADT.,BT1
What is logic family?,BT1
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",BT2
Compare Linear V oltage regulators with SMPS.,BT4
Assuming that the diameters of 1000 brass plugs taken consecutively from a machine form a normal distribution with mean 0.,BT3
What are types of acceleration?,BT1
With the help of diagram explain the diesel power plant.,BT2
Describe Adaptive Delta modulation with neat diagram.,BT2
Explain file functions for text file and binary file operations.,BT1
Explain THREE (3) purposes of architectural drawings to architects and other parties in the construction team. ,BT2
Identify FOUR (4) factors that influence consumer behaviour. ,BT1
Explain the necessity of providing fire protection system in building.,BT1
Define and explain the following op-Amppovameter,BT1
What do you mean by triangulation and trilateration in geodetic survey?,BT1
Define terms.,BT2
What is a solar collector?,BT1
Write short note on lamination methods.,BT1
Analyze SIX (6) types of modern construction problems as to how they negatively impact the various building functions. ,BT4
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,BT2
Describe with neat diagram molecular machines.,BT2
Design an adjustable voltage regulator using LM317 for output voltage 1.,BT3
Explain following pins of 8051.,BT2
Draw and explain IPV4 header format.,BT1
A T section with 200 mm X 50 mm and web 200 mm X 50 mm as shown in figure 1 is subjected to vertical shear force of 200 KN.,BT3
Enlist the feature of the Programmable Interrupt Controller Intel 82C59A.,BT1
A thermos flask with evacuated space to reduce the heat losses having surfaces facing each other of emissivity 0.,BT3
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",BT5
List and briefly describe the FOUR soil forming processes. ,BT2
The breakdown voltage of the gaseous insulating material experiment was carried out at the material science laboratory.,BT3
Explain working of single phase half wave rectifier with RL load.,BT1
Support your answers with ONE (1) example in everyday life for EACH perspective. ,BT5
Elaborate on the design and production process including the rational and economic use of resources that influence the development of a building. ,BT2
Explain with neat sketch battery ignition system.,BT1
Draw and explain operational model of network security.,BT1
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",BT2
An axial pull of 25 kN along with a shear force of 20 kN is applied to a circular bar of 20 mm diameter.,BT3
Calculate first four moments about the mean of the following distribution.,BT3
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications. ,BT6
Define functional dependency.,BT1
Enlist features of a good hash function.,BT1
Give the composition of duralumin.,BT1
A 230 V DC shunt motor runs at 800 rpm and takes armature current of 50 A.,BT3
Construct the binary search tree (BST) from the following elements:,BT3
Identify FIVE (5) strategies to make hypermarket retail layout to be more attractive in responding to customers' various shopping behaviors.,BT2
"In a table, list EIGHT differences between GenBank and RefSeq DNA sequences. ",BT2
What is Mutual Exclusion?,BT1
Write a short note on topological sorting.,BT3
List the steps involved in programming PIC microcontroller in capture mode.,BT1
Explain typical connections of 78XX and 79XX regulators with circuit diagram.,BT1
Write one important feature and an application each of the following motors.,BT1
Explain the TSS descriptor and its role in multitasking.,BT4
Describe the objective and classification of triangulation survey.,BT2
What are the different types of Financial Analysis?,BT1
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,BT4
Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,BT2
Elaborate on detectors used in AC bridges.,BT3
For the configuration shown in the following fig.,BT3
What is template?,BT1
What is the need of hidden surface algorithm?,BT1
"Explain in detail the working of dynamometer types wattmeter with a neat diagram. Also, state its advantages and disadvantages.",BT1
Summarize different access controls in Java.,BT1
Explain the working principle of McLeod low pressure vacuum gauge. With neat sketch.,BT1
Show that the vector field.,BT5
Discuss the best practices to reduce construction demolition and waste for sustainability. ,BT2
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,BT5
How pressure regulation is done pneumatic circuits?,BT1
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",BT6
What is ADT?,BT1
What are the factors that must be considered for deciding the instruction length.,BT2
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",BT3
List the SEVEN (7) factors to be considered in the method of excavation and timbering. ,BT1
"Within an organization, each employee holds different roles in the informal communication networks. Explain any FOUR (4) roles with an example for each role. ",BT3
Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,BT2
Explain indexed sequential file organization.,BT1
Describe and sketch the THREE (3) types of brick bonding. ,BT3
State and explain rules of inference.,BT1
Define :,BT1
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,BT6
Explain the principle of autoclaving with its applications.,BT4
List and explain various features of virtual 8086 Mode.,BT1
Explain various process management system calls in Linux with example.,BT1
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",BT1
A rectangular beam of breadth 100 mm and depth 200 mm is simply supported over a span of 4 m.,BT3
What are the salient features of engineering student's hostel building?,BT1
Derive Lagrangeâs Interpolation formula for unequally spaced data points.,BT4
Differentiate between Gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces. ,BT4
Name FOUR enzymes in DNA replication and state their functions. ,BT2
Write a note on SRAM.,BT1
What is meant by back emf in DC motor? State the equation of back emf. Also explain how back emf acts as a regulating mechanism whenload on DC motor changes.,BT1
Derive an expression for LMTD  for parallel flow heat exchanger with neat sketch.,BT4
Explain a âCâ function to Insert a number in doubly linked list.,BT3
Enlist and draw different types of polygon?,BT1
What is RTD?,BT1
Define following terms,BT1
How packaging is providing protection to product from biological effects.,BT4
Explain the behaviour of ferromagnetic material under curie temperature.,BT1
In an engine mechanism as shown in figure.,BT5
Derive the expression for armature torque developed in a DC motor.,BT4
Explain the features of LISP programming.,BT1
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,BT3
Explain quick sort algorithm with suitable example.,BT4
What is tree structured directory?,BT1
What are the parameters considered for writing a good defect report?,BT1
Obtain regression lines for the following data.,BT4
A four pole lap wound DC motor has 540 conductors.,BT3
Write a short note on capacity control of compressors.,BT1
Describe the properties and application of the following materials.,BT2
Differentiate between Symmetric and Asymmetric Key Cryptography.,BT4
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,BT2
Explain the types of HMI.,BT1
The crank of an engine is 200 mm long and the ratio of connecting rod length to the crank radius is 4.,BT3
Mr.,BT3
What is LANDSLIDE?,BT1
Draw & explain TCON register.,BT1
Explain the following operations performed on lathe with suitable sketch.,BT4
Define briefly the role of marketing in advertising effectiveness. ,BT1
What are Electroactive Polymers?,BT1
"With the neat diagram, explain the working operation of 4-bit SISO.",BT1
Which raw materials are used for manufacture of nitrogeneous fertilizers produced from Ammonia.,BT1
Explain electronic energy meter with a neat diagram.,BT1
Explain in brief the mesh selection criteria for screen printing applications.,BT3
Write in details FIVE (5) phases of design process.,BT2
Compare pulse Amplitude modulation and pulse position modulation.,BT4
With suitable circuit diagram and phasor diagram explain one wattmeter method for measurement of reactive power.,BT1
State and explain basic components of ASM chart.,BT3
Explain low drop out regulator with neat diagram in detail.,BT1
"Find the directional derivative of xy yz xzÏ=++  at (1, 1, 1) along line 111 212x yz âââ== .",BT3
"Based on your knowledge on the physics of semiconductors, evaluate the limit for the minimum feature size of silicon MOSFET.",BT5
Write a short note on survey for drainage line work?,BT1
What are the advantages of digital instruments over analog instruments.,BT2
What is Exception handing? How to handle Exception in Java?,BT1
What is aliasing? How can it be avoided.,BT1
Differentiate between Microscopy and Macroscopy.,BT4
Provide FOUR (4) reasons of using aggregate in concrete production. ,BT2
What improvements needs to be done for packaging waste.,BT5
Elaborate THREE (3) channels of the transmission process for monetary policy. ,BT2
Explain the working of circular queue.,BT1
Define package used in Java.,BT1
Suggest FOUR (4) recommendations in dealing with intersexes. ,BT6
What is a doubly linked list?,BT1
Explain the function of 78XX and 79XX voltage regulator.,BT2
What is instruction hazard?,BT1
Describe the assumptions of monopolistic competitive market.,BT2
List the features of 8086 microprocessor.,BT1
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",BT6
Identify FOUR (4) major crisis variables in organizing and analyzing crisis evolution data. Support your answer with explanation and ONE (1) example for each variable. ,BT2
State and explain types of belts.,BT1
Explain static and dynamic tree tables with suitable example.,BT4
Draw and explain block diagram of 8051 in detail.,BT2
A hollow circular shaft has external and internal diameter as 100 mm and 60 mm respectively.,BT3
Differentiate between Putlog and Independent Scaffold. ,BT4
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario. ,BT5
State the advantage of applying each step in the purification scheme. ,BT2
State various materials used in reinforcement of plastics.,BT1
Define pyrolysis and cracking in petroleum refining process.,BT3
Identify any FIVE (5) significances of nonverbal communication in organization. ,BT1
Enlist any four types of flooring.,BT1
What is DMA?,BT1
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,BT4
What is SCM?,BT1
Explain the Bezier curve.,BT4
Derive an expression of velocity and shear stress distribution for laminar flow between fixed parallel plates.,BT4
Describe the THREE (3) roles for social media in branding.,BT1
Apply the block digram reduction rules to reduce the following system into canonical form and determine its control ratio.,BT1
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,BT2
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",BT1
An infinite slope is made of clay with the following properties:,BT3
What are the salient features of vegetable market building.,BT1
What is Inheritance?,BT1
Discuss following terms.,BT1
Find the Laplace Transform and ROC of Unit Step function and Unit Ramp function.,BT4
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,BT2
Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,BT2
Write short note on external sort.,BT1
Explain in brief reactions involved in manufacture of silicone rubbers with mechanisms.,BT3
Give dimensionless numbers in case of natural and forced convection.,BT1
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,BT2
Explain Network stability.,BT1
List TEN (10) components of an effective crisis communication plan.,BT2
Explain in brief the exposure time calculation method for screen stencil making process.,BT1
Write a note on User Interface Design.,BT1
Discuss in detail with a case history how geological investigations have helped for proper site of Dam.,BT4
"Construct a DNA based cladogram using neighbour-joining approach, and suggest the relationship of S, M, and D species. ",BT6
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,BT2
Explain Intel i860 processor with block diagram.,BT1
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted. ,BT6
How are polymers classified on the basis of their structure?,BT1
Discuss the different types of threads used in power screw.,BT1
Draw a block diagram of electronic energy meter and explain how it operates.,BT2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
